date,package,count
2019-07-04,agricolae,374
2019-07-05,agricolae,334
2019-07-06,agricolae,226
2019-07-07,agricolae,211
2019-07-08,agricolae,493
2019-07-09,agricolae,566
2019-07-10,agricolae,554
2019-07-11,agricolae,518
2019-07-12,agricolae,365
2019-07-13,agricolae,201
2019-07-14,agricolae,213
2019-07-15,agricolae,430
2019-07-16,agricolae,479
2019-07-17,agricolae,474
2019-07-18,agricolae,488
2019-07-19,agricolae,342
2019-07-20,agricolae,186
2019-07-21,agricolae,188
2019-07-22,agricolae,415
2019-07-23,agricolae,510
2019-07-24,agricolae,479
2019-07-25,agricolae,440
2019-07-26,agricolae,367
2019-07-27,agricolae,178
2019-07-28,agricolae,183
2019-07-29,agricolae,391
2019-07-30,agricolae,422
2019-07-31,agricolae,480
2019-08-01,agricolae,446
2019-08-02,agricolae,336
2019-08-03,agricolae,191
2019-08-04,agricolae,166
2019-08-05,agricolae,418
2019-08-06,agricolae,398
2019-08-07,agricolae,434
2019-08-08,agricolae,385
2019-08-09,agricolae,336
2019-08-10,agricolae,174
2019-08-11,agricolae,137
2019-08-12,agricolae,416
2019-08-13,agricolae,398
2019-08-14,agricolae,474
2019-08-15,agricolae,410
2019-08-16,agricolae,296
2019-08-17,agricolae,278
2019-08-18,agricolae,179
2019-08-19,agricolae,445
2019-08-20,agricolae,492
2019-08-21,agricolae,504
2019-08-22,agricolae,420
2019-08-23,agricolae,479
2019-08-24,agricolae,217
2019-08-25,agricolae,239
2019-08-26,agricolae,478
2019-08-27,agricolae,553
2019-08-28,agricolae,595
2019-08-29,agricolae,583
2019-08-30,agricolae,551
2019-08-31,agricolae,240
2019-09-01,agricolae,182
2019-09-02,agricolae,416
2019-09-03,agricolae,509
2019-09-04,agricolae,544
2019-09-05,agricolae,562
2019-09-06,agricolae,462
2019-09-07,agricolae,346
2019-09-08,agricolae,226
2019-09-09,agricolae,622
2019-09-10,agricolae,617
2019-09-11,agricolae,736
2019-09-12,agricolae,571
2019-09-13,agricolae,601
2019-09-14,agricolae,310
2019-09-15,agricolae,296
2019-09-16,agricolae,701
2019-09-17,agricolae,731
2019-09-18,agricolae,807
2019-09-19,agricolae,681
2019-09-20,agricolae,595
2019-09-21,agricolae,341
2019-09-22,agricolae,253
2019-09-23,agricolae,617
2019-09-24,agricolae,649
2019-09-25,agricolae,732
2019-09-26,agricolae,643
2019-09-27,agricolae,498
2019-09-28,agricolae,197
2019-09-29,agricolae,237
2019-09-30,agricolae,568
2019-10-01,agricolae,635
2019-10-02,agricolae,737
2019-10-03,agricolae,609
2019-10-04,agricolae,448
2019-10-05,agricolae,249
2019-10-06,agricolae,254
2019-10-07,agricolae,795
2019-10-08,agricolae,698
2019-10-09,agricolae,929
2019-10-10,agricolae,760
2019-10-11,agricolae,644
2019-10-12,agricolae,360
2019-10-13,agricolae,303
2019-10-14,agricolae,704
2019-10-15,agricolae,690
2019-10-16,agricolae,733
2019-10-17,agricolae,609
2019-10-18,agricolae,559
2019-10-19,agricolae,269
2019-10-20,agricolae,294
2019-10-21,agricolae,867
2019-10-22,agricolae,836
2019-10-23,agricolae,739
2019-10-24,agricolae,562
2019-10-25,agricolae,522
2019-10-26,agricolae,317
2019-10-27,agricolae,280
2019-10-28,agricolae,712
2019-10-29,agricolae,632
2019-10-30,agricolae,740
2019-10-31,agricolae,641
2019-11-01,agricolae,432
2019-11-02,agricolae,322
2019-11-03,agricolae,294
2019-11-04,agricolae,672
2019-11-05,agricolae,735
2019-11-06,agricolae,772
2019-11-07,agricolae,586
2019-11-08,agricolae,519
2019-11-09,agricolae,249
2019-11-10,agricolae,318
2019-11-11,agricolae,599
2019-11-12,agricolae,750
2019-11-13,agricolae,680
2019-11-14,agricolae,662
2019-11-15,agricolae,594
2019-11-16,agricolae,328
2019-11-17,agricolae,356
2019-11-18,agricolae,629
2019-11-19,agricolae,713
2019-11-20,agricolae,662
2019-11-21,agricolae,617
